epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.001,0.13201036048469258,0.8601136983056689,0.7441764838659941,0.36839099150826965,0.5247087755017242
1,0.001,0.11662620973231187,0.8736560567855416,0.46776892000169895,0.5524030304360554,0.7046076731817434
2,0.001,0.11018413027275854,0.8818863173594182,0.1799974792928838,0.8090576453178371,0.8934882900422824
3,0.001,0.1176374045325749,0.8730973826105093,0.5578795626981935,0.5107914984355102,0.6629051240110884
4,0.001,0.12737380880028454,0.865622695671592,1.0556324951684297,0.24919592039678232,0.37549094684121526
5,0.001,0.12400485819845057,0.8686584811411362,0.5462720296276149,0.5186572225218978,0.6696083973860953
6,0.001,0.11616118318998991,0.8747714655035415,0.22993513274548658,0.7358992838415347,0.8467741182977432
7,0.001,0.1087952791087663,0.8819463309022285,0.9436253540551485,0.30610538710789287,0.46408424710437673
8,0.001,0.11389421015533048,0.8797664916680477,0.314056023288129,0.6548655505167394,0.789751609444491
9,0.001,0.11400262733448797,0.8784539053068668,0.5706903182748538,0.4970142028353167,0.6522515069707271
10,0.001,0.12989065406927422,0.8612059897457338,0.3249900358826367,0.6623017691022244,0.7935100664133878
11,0.001,0.11855322856511642,0.8714562724881983,0.23146441712308286,0.7929521374231633,0.8836729887292746
12,0.001,0.10965685824404901,0.8797563485091399,0.20237567798415226,0.7838412179127076,0.8777350781720518
13,0.001,0.10757208270813103,0.8825884668055493,0.43970949436301615,0.6244356829413188,0.7663274061504222
14,0.001,0.10543250637267952,0.8875671413258922,0.17948032893351654,0.807289370196229,0.892416044027718
15,0.001,0.1012557581511896,0.8933129201472254,0.4688879198102809,0.5867636597587889,0.7381877780551078
16,0.001,0.10366303907401526,0.8890098170432092,0.3755065216057336,0.643228730892101,0.7815051532746412
17,0.001,0.10231974665353548,0.8905134340908085,0.17732685092669814,0.8144117670724638,0.8968600596150504
18,0.001,0.10410561940785665,0.8889317363702924,0.27427694601799124,0.7109724340170908,0.8298320325084486
19,0.001,0.10431183641081426,0.8893843050696324,0.6803176438630517,0.4297689231298671,0.5865411172330356
20,0.001,0.11109294319775567,0.8808653945418505,0.7507242818376911,0.3441835571056121,0.4924200542913414
21,0.001,0.12014092849706536,0.869299758761204,0.4324088052137574,0.6114802750793059,0.7578764520446553
22,0.001,0.11071007609812182,0.8809291904113381,0.44236509702098903,0.5540991710472265,0.704104872197504
23,0.001,0.1094082929749987,0.8826907149043034,0.177619237063536,0.8103378086282297,0.8941584643388375
